1	248956422	0
10	133797422	1674883629
11	135086622	1808681051
12	133275309	1943767673
13	114364328	2077042982
14	107043718	2191407310
15	101991189	2298451028
16	90338345	2400442217
17	83257441	2490780562
18	80373285	2574038003
19	58617616	2654411288
2	242193529	248956422
20	64444167	2713028904
21	46709983	2777473071
22	50818468	2824183054
3	198295559	491149951
4	190214555	689445510
5	181538259	879660065
6	170805979	1061198324
7	159345973	1232004303
8	145138636	1391350276
9	138394717	1536488912
X	156040895	2875001522
Y	57227415	3031042417
